instrument_name,strike_price,expiry_date,side,bid/ask,margin_required,premium_earned
NIFTY,22650,07-Nov-2024,CE,1686.8,2300,126510.0
NIFTY,22650,14-Nov-2024,PE,8.15,1950,611.25
NIFTY,22650,14-Nov-2024,CE,1816.05,2300,136203.75
NIFTY,22650,21-Nov-2024,PE,12.0,1950,900.0
NIFTY,22650,21-Nov-2024,CE,1959.05,2300,146928.75
NIFTY,22650,28-Nov-2024,PE,26.3,1950,1972.5
NIFTY,22650,28-Nov-2024,CE,1878.7,2300,140902.5
NIFTY,22650,05-Dec-2024,PE,13.5,1950,1012.5
NIFTY,22650,26-Dec-2024,PE,54.5,1950,4087.5
NIFTY,22650,26-Dec-2024,CE,2188.55,2300,164141.25
NIFTY,22650,30-Jan-2025,PE,73.1,1950,5482.5
NIFTY,22700,07-Nov-2024,PE,2.15,1950,161.25
NIFTY,22700,07-Nov-2024,CE,1637.05,2300,122778.75
NIFTY,22700,14-Nov-2024,PE,10.55,1950,791.25
NIFTY,22700,14-Nov-2024,CE,1765.5,2300,132412.5
NIFTY,22700,21-Nov-2024,PE,12.1,1950,907.5
NIFTY,22700,21-Nov-2024,CE,1904.45,2300,142833.75
NIFTY,22700,28-Nov-2024,PE,46.1,1950,3457.5
NIFTY,22700,28-Nov-2024,CE,1779.15,2300,133436.25
NIFTY,22700,05-Dec-2024,PE,18.1,1950,1357.5
NIFTY,22700,26-Dec-2024,PE,79.4,1950,5955.0
NIFTY,22700,26-Dec-2024,CE,2136.25,2300,160218.75
NIFTY,22700,30-Jan-2025,PE,81.1,1950,6082.5
NIFTY,22750,07-Nov-2024,PE,2.45,1950,183.75
NIFTY,22750,07-Nov-2024,CE,1586.75,2300,119006.25
NIFTY,22750,14-Nov-2024,PE,9.15,1950,686.25
NIFTY,22750,14-Nov-2024,CE,1715.4,2300,128655.0
NIFTY,22750,21-Nov-2024,PE,13.0,1950,975.0
NIFTY,22750,21-Nov-2024,CE,1849.65,2300,138723.75
NIFTY,22750,28-Nov-2024,PE,29.25,1950,2193.75
NIFTY,22750,28-Nov-2024,CE,1786.35,2300,133976.25
NIFTY,22750,05-Dec-2024,PE,25.1,1950,1882.5
NIFTY,22750,26-Dec-2024,PE,50.1,1950,3757.5
NIFTY,22750,26-Dec-2024,CE,2044.7,2300,153352.5
NIFTY,22750,30-Jan-2025,PE,82.1,1950,6157.5
NIFTY,22800,07-Nov-2024,PE,3.05,1950,228.75
NIFTY,22800,07-Nov-2024,CE,1511.0,2300,113325.0
NIFTY,22800,14-Nov-2024,PE,12.1,1950,907.5
NIFTY,22800,14-Nov-2024,CE,1664.65,2300,124848.75
NIFTY,22800,21-Nov-2024,PE,13.1,1950,982.5
NIFTY,22800,21-Nov-2024,CE,1795.25,2300,134643.75
NIFTY,22800,28-Nov-2024,PE,51.05,1950,3828.75
NIFTY,22800,28-Nov-2024,CE,1737.45,2300,130308.75
NIFTY,22800,05-Dec-2024,PE,23.1,1950,1732.5
NIFTY,22800,26-Dec-2024,PE,115.05,1950,8628.75
NIFTY,22800,26-Dec-2024,CE,2041.6,2300,153120.0
NIFTY,22800,30-Jan-2025,PE,86.1,1950,6457.5
NIFTY,22850,07-Nov-2024,PE,3.4,1950,255.0
NIFTY,22850,07-Nov-2024,CE,1488.45,2300,111633.75
NIFTY,22850,14-Nov-2024,PE,11.6,1950,870.0
NIFTY,22850,14-Nov-2024,CE,1644.95,2300,123371.25
NIFTY,22850,21-Nov-2024,PE,13.5,1950,1012.5
NIFTY,22850,21-Nov-2024,CE,1740.65,2300,130548.75
NIFTY,22850,28-Nov-2024,PE,32.5,1950,2437.5
NIFTY,22850,28-Nov-2024,CE,1690.8,2300,126810.0
NIFTY,22850,05-Dec-2024,PE,25.1,1950,1882.5
NIFTY,22850,26-Dec-2024,PE,50.1,1950,3757.5
NIFTY,22850,26-Dec-2024,CE,1995.1,2300,149632.5
NIFTY,22850,30-Jan-2025,PE,91.0,1950,6825.0
NIFTY,22900,07-Nov-2024,PE,4.3,1950,322.5
NIFTY,22900,07-Nov-2024,CE,1430.55,2300,107291.25
NIFTY,22900,14-Nov-2024,PE,12.65,1950,948.75
NIFTY,22900,14-Nov-2024,CE,1564.55,2300,117341.25
NIFTY,22900,21-Nov-2024,PE,18.0,1950,1350.0
NIFTY,22900,21-Nov-2024,CE,1686.05,2300,126453.75
NIFTY,22900,28-Nov-2024,PE,56.9,1950,4267.5
NIFTY,22900,28-Nov-2024,CE,1638.7,2300,122902.5
NIFTY,22900,05-Dec-2024,PE,25.1,1950,1882.5
NIFTY,22900,26-Dec-2024,PE,95.6,1950,7170.0
NIFTY,22900,26-Dec-2024,CE,1939.75,2300,145481.25
NIFTY,22900,30-Jan-2025,PE,95.1,1950,7132.5
NIFTY,22950,07-Nov-2024,PE,4.7,1950,352.5
NIFTY,22950,07-Nov-2024,CE,1344.3,2300,100822.5
NIFTY,22950,14-Nov-2024,PE,12.7,1950,952.5
NIFTY,22950,14-Nov-2024,CE,1515.4,2300,113655.0
NIFTY,22950,21-Nov-2024,PE,23.0,1950,1725.0
NIFTY,22950,21-Nov-2024,CE,1631.45,2300,122358.75
NIFTY,22950,28-Nov-2024,PE,36.75,1950,2756.25
NIFTY,22950,28-Nov-2024,CE,1597.15,2300,119786.25
NIFTY,22950,05-Dec-2024,PE,25.1,1950,1882.5
NIFTY,22950,26-Dec-2024,PE,72.8,1950,5460.0
NIFTY,22950,26-Dec-2024,CE,1883.2,2300,141240.0
NIFTY,22950,30-Jan-2025,PE,95.1,1950,7132.5
NIFTY,23000,07-Nov-2024,PE,5.5,1950,412.5
NIFTY,23000,07-Nov-2024,CE,1282.05,2300,96153.75
NIFTY,23000,14-Nov-2024,PE,19.0,1950,1425.0
NIFTY,23000,14-Nov-2024,CE,1467.35,2300,110051.25
NIFTY,23000,21-Nov-2024,PE,41.45,1950,3108.75
NIFTY,23000,21-Nov-2024,CE,1576.85,2300,118263.75
NIFTY,23000,28-Nov-2024,PE,70.05,1950,5253.75
NIFTY,23000,28-Nov-2024,CE,1437.15,2300,107786.25
NIFTY,23000,05-Dec-2024,PE,44.2,1950,3315.0
NIFTY,23000,26-Dec-2024,PE,148.95,1950,11171.25
NIFTY,23000,26-Dec-2024,CE,1654.25,2300,124068.75
NIFTY,23000,30-Jan-2025,PE,211.0,1950,15825.0
NIFTY,23000,30-Jan-2025,CE,1945.2,2300,145890.0
NIFTY,23000,27-Mar-2025,PE,278.0,1950,20850.0
NIFTY,23000,27-Mar-2025,CE,2143.05,2300,160728.75
NIFTY,23000,26-Jun-2025,PE,365.0,1950,27375.0
NIFTY,23000,25-Sep-2025,PE,232.0,1950,17400.0
NIFTY,23000,24-Dec-2025,PE,508.3,1950,38122.5
NIFTY,23000,24-Dec-2025,CE,3450.0,2300,258750.0
NIFTY,23000,31-Dec-2026,PE,496.65,1950,37248.75
NIFTY,23000,31-Dec-2026,CE,6300.0,2300,472500.0
NIFTY,23000,24-Jun-2027,PE,487.55,1950,36566.25
NIFTY,23000,30-Dec-2027,PE,470.0,1950,35250.0
NIFTY,23000,29-Jun-2028,PE,448.1,1950,33607.5
NIFTY,23000,28-Dec-2028,PE,423.6,1950,31770.0
NIFTY,23000,28-Jun-2029,PE,398.1,1950,29857.5
NIFTY,23050,07-Nov-2024,PE,6.35,1950,476.25
NIFTY,23050,07-Nov-2024,CE,1235.1,2300,92632.5
NIFTY,23050,14-Nov-2024,PE,18.4,1950,1380.0
NIFTY,23050,14-Nov-2024,CE,1483.45,2300,111258.75
NIFTY,23050,21-Nov-2024,PE,28.0,1950,2100.0
NIFTY,23050,21-Nov-2024,CE,1569.15,2300,117686.25
NIFTY,23050,28-Nov-2024,PE,73.55,1950,5516.25
NIFTY,23050,28-Nov-2024,CE,1498.35,2300,112376.25
NIFTY,23050,05-Dec-2024,PE,27.1,1950,2032.5
NIFTY,23050,26-Dec-2024,PE,125.8,1950,9435.0
NIFTY,23050,26-Dec-2024,CE,1775.9,2300,133192.5
NIFTY,23050,30-Jan-2025,PE,95.1,1950,7132.5
NIFTY,23100,07-Nov-2024,PE,7.1,1950,532.5
NIFTY,23100,07-Nov-2024,CE,1235.2,2300,92640.0
NIFTY,23100,14-Nov-2024,PE,21.0,1950,1575.0
NIFTY,23100,14-Nov-2024,CE,1399.1,2300,104932.5
NIFTY,23100,21-Nov-2024,PE,34.0,1950,2550.0
NIFTY,23100,21-Nov-2024,CE,1514.55,2300,113591.25
NIFTY,23100,28-Nov-2024,PE,79.0,1950,5925.0
NIFTY,23100,28-Nov-2024,CE,1364.0,2300,102300.0
NIFTY,23100,05-Dec-2024,PE,44.9,1950,3367.5
NIFTY,23100,26-Dec-2024,PE,105.55,1950,7916.25
NIFTY,23100,26-Dec-2024,CE,1759.65,2300,131973.75
NIFTY,23100,30-Jan-2025,PE,95.15,1950,7136.25
NIFTY,23150,07-Nov-2024,PE,8.25,1950,618.75
NIFTY,23150,07-Nov-2024,CE,1141.35,2300,85601.25
NIFTY,23150,14-Nov-2024,PE,22.4,1950,1680.0
NIFTY,23150,14-Nov-2024,CE,1342.05,2300,100653.75
NIFTY,23150,21-Nov-2024,PE,29.1,1950,2182.5
NIFTY,23150,21-Nov-2024,CE,1459.95,2300,109496.25
NIFTY,23150,28-Nov-2024,PE,54.5,1950,4087.5
NIFTY,23150,28-Nov-2024,CE,1404.8,2300,105360.0
NIFTY,23150,05-Dec-2024,PE,35.1,1950,2632.5
NIFTY,23150,26-Dec-2024,PE,114.05,1950,8553.75
NIFTY,23150,26-Dec-2024,CE,1713.9,2300,128542.5
NIFTY,23150,30-Jan-2025,PE,95.1,1950,7132.5
NIFTY,23200,07-Nov-2024,PE,10.25,1950,768.75
NIFTY,23200,07-Nov-2024,CE,1106.3,2300,82972.5
NIFTY,23200,14-Nov-2024,PE,28.15,1950,2111.25
NIFTY,23200,14-Nov-2024,CE,1367.5,2300,102562.5
NIFTY,23200,21-Nov-2024,PE,34.25,1950,2568.75
NIFTY,23200,21-Nov-2024,CE,1405.35,2300,105401.25
NIFTY,23200,28-Nov-2024,PE,91.1,1950,6832.5
NIFTY,23200,28-Nov-2024,CE,1275.5,2300,95662.5
NIFTY,23200,05-Dec-2024,PE,38.9,1950,2917.5
NIFTY,23200,26-Dec-2024,PE,170.55,1950,12791.25
NIFTY,23200,26-Dec-2024,CE,1590.25,2300,119268.75
NIFTY,23200,30-Jan-2025,PE,213.0,1950,15975.0
NIFTY,23250,07-Nov-2024,PE,11.15,1950,836.25
NIFTY,23250,07-Nov-2024,CE,1053.45,2300,79008.75
NIFTY,23250,14-Nov-2024,PE,28.8,1950,2160.0
NIFTY,23250,14-Nov-2024,CE,1244.2,2300,93315.0
NIFTY,23250,21-Nov-2024,PE,33.1,1950,2482.5
NIFTY,23250,21-Nov-2024,CE,1350.75,2300,101306.25
NIFTY,23250,28-Nov-2024,PE,94.05,1950,7053.75
NIFTY,23250,28-Nov-2024,CE,1313.35,2300,98501.25
NIFTY,23250,05-Dec-2024,PE,42.1,1950,3157.5
NIFTY,23250,26-Dec-2024,PE,134.2,1950,10065.0
NIFTY,23250,26-Dec-2024,CE,1618.65,2300,121398.75
NIFTY,23250,30-Jan-2025,PE,100.1,1950,7507.5
NIFTY,23300,07-Nov-2024,PE,13.05,1950,978.75
NIFTY,23300,07-Nov-2024,CE,991.0,2300,74325.0
NIFTY,23300,14-Nov-2024,PE,36.85,1950,2763.75
NIFTY,23300,14-Nov-2024,CE,1196.4,2300,89730.0
NIFTY,23300,21-Nov-2024,PE,36.05,1950,2703.75
NIFTY,23300,21-Nov-2024,CE,1296.15,2300,97211.25
NIFTY,23300,28-Nov-2024,PE,101.8,1950,7635.0
NIFTY,23300,28-Nov-2024,CE,1189.05,2300,89178.75
NIFTY,23300,05-Dec-2024,PE,47.85,1950,3588.75
NIFTY,23300,26-Dec-2024,PE,182.95,1950,13721.25
NIFTY,23300,26-Dec-2024,CE,1574.0,2300,118050.0
NIFTY,23300,30-Jan-2025,PE,233.05,1950,17478.75
NIFTY,23350,07-Nov-2024,PE,15.05,1950,1128.75
NIFTY,23350,07-Nov-2024,CE,944.6,2300,70845.0
NIFTY,23350,14-Nov-2024,PE,37.0,1950,2775.0
NIFTY,23350,14-Nov-2024,CE,1154.05,2300,86553.75
NIFTY,23350,21-Nov-2024,PE,33.1,1950,2482.5
NIFTY,23350,21-Nov-2024,CE,1241.55,2300,93116.25
NIFTY,23350,28-Nov-2024,PE,105.65,1950,7923.75
NIFTY,23350,28-Nov-2024,CE,1222.85,2300,91713.75
NIFTY,23350,05-Dec-2024,PE,50.1,1950,3757.5
NIFTY,23350,26-Dec-2024,PE,141.1,1950,10582.5
NIFTY,23350,26-Dec-2024,CE,1540.15,2300,115511.25
NIFTY,23350,30-Jan-2025,PE,101.1,1950,7582.5
NIFTY,23400,07-Nov-2024,PE,18.15,1950,1361.25
NIFTY,23400,07-Nov-2024,CE,898.1,2300,67357.5
NIFTY,23400,14-Nov-2024,PE,44.95,1950,3371.25
NIFTY,23400,14-Nov-2024,CE,1103.1,2300,82732.5
NIFTY,23400,21-Nov-2024,PE,73.0,1950,5475.0
NIFTY,23400,21-Nov-2024,CE,1186.95,2300,89021.25
NIFTY,23400,28-Nov-2024,PE,116.45,1950,8733.75
NIFTY,23400,28-Nov-2024,CE,1103.4,2300,82755.0
NIFTY,23400,05-Dec-2024,PE,57.6,1950,4320.0
NIFTY,23400,26-Dec-2024,PE,197.55,1950,14816.25
NIFTY,23400,26-Dec-2024,CE,1495.65,2300,112173.75
NIFTY,23400,30-Jan-2025,PE,252.85,1950,18963.75
NIFTY,23450,07-Nov-2024,PE,20.55,1950,1541.25
NIFTY,23450,07-Nov-2024,CE,853.5,2300,64012.5
NIFTY,23450,14-Nov-2024,PE,46.65,1950,3498.75
NIFTY,23450,14-Nov-2024,CE,1048.6,2300,78645.0
NIFTY,23450,21-Nov-2024,PE,50.1,1950,3757.5
NIFTY,23450,21-Nov-2024,CE,1142.9,2300,85717.5
NIFTY,23450,28-Nov-2024,PE,123.7,1950,9277.5
NIFTY,23450,28-Nov-2024,CE,1135.95,2300,85196.25
NIFTY,23450,05-Dec-2024,PE,59.1,1950,4432.5
NIFTY,23450,26-Dec-2024,PE,130.15,1950,9761.25
NIFTY,23450,26-Dec-2024,CE,1438.25,2300,107868.75
NIFTY,23450,30-Jan-2025,PE,95.1,1950,7132.5
NIFTY,23500,07-Nov-2024,PE,24.4,1950,1830.0
NIFTY,23500,07-Nov-2024,CE,802.4,2300,60180.0
NIFTY,23500,14-Nov-2024,PE,55.05,1950,4128.75
NIFTY,23500,14-Nov-2024,CE,890.5,2300,66787.5
NIFTY,23500,21-Nov-2024,PE,92.2,1950,6915.0
NIFTY,23500,21-Nov-2024,CE,1088.2,2300,81615.0
NIFTY,23500,28-Nov-2024,PE,135.05,1950,10128.75
NIFTY,23500,28-Nov-2024,CE,1007.0,2300,75525.0
NIFTY,23500,05-Dec-2024,PE,116.4,1950,8730.0
NIFTY,23500,26-Dec-2024,PE,232.1,1950,17407.5
NIFTY,23500,26-Dec-2024,CE,1251.9,2300,93892.5
NIFTY,23500,30-Jan-2025,PE,301.55,1950,22616.25
NIFTY,23500,30-Jan-2025,CE,0.0,2300,0.0
NIFTY,23550,07-Nov-2024,PE,28.25,1950,2118.75
NIFTY,23550,07-Nov-2024,CE,757.05,2300,56778.75
NIFTY,23550,14-Nov-2024,PE,61.3,1950,4597.5
NIFTY,23550,14-Nov-2024,CE,963.8,2300,72285.0
NIFTY,23550,21-Nov-2024,PE,57.05,1950,4278.75
NIFTY,23550,21-Nov-2024,CE,1065.0,2300,79875.0
NIFTY,23550,28-Nov-2024,PE,141.75,1950,10631.25
NIFTY,23550,28-Nov-2024,CE,1051.1,2300,78832.5
NIFTY,23550,05-Dec-2024,PE,68.05,1950,5103.75
NIFTY,23550,26-Dec-2024,PE,117.55,1950,8816.25
NIFTY,23550,26-Dec-2024,CE,1363.35,2300,102251.25
NIFTY,23550,30-Jan-2025,PE,105.1,1950,7882.5
NIFTY,23600,07-Nov-2024,PE,32.95,1950,2471.25
NIFTY,23600,07-Nov-2024,CE,714.75,2300,53606.25
NIFTY,23600,14-Nov-2024,PE,69.55,1950,5216.25
NIFTY,23600,14-Nov-2024,CE,918.75,2300,68906.25
NIFTY,23600,21-Nov-2024,PE,103.3,1950,7747.5
NIFTY,23600,21-Nov-2024,CE,969.55,2300,72716.25
NIFTY,23600,28-Nov-2024,PE,149.65,1950,11223.75
NIFTY,23600,28-Nov-2024,CE,935.0,2300,70125.0
NIFTY,23600,05-Dec-2024,PE,75.55,1950,5666.25
NIFTY,23600,26-Dec-2024,PE,247.25,1950,18543.75
NIFTY,23600,26-Dec-2024,CE,1205.8,2300,90435.0
NIFTY,23600,30-Jan-2025,PE,303.1,1950,22732.5
NIFTY,23650,07-Nov-2024,PE,38.75,1950,2906.25
NIFTY,23650,07-Nov-2024,CE,687.6,2300,51570.0
NIFTY,23650,14-Nov-2024,PE,75.2,1950,5640.0
NIFTY,23650,14-Nov-2024,CE,877.75,2300,65831.25
NIFTY,23650,21-Nov-2024,PE,67.85,1950,5088.75
NIFTY,23650,21-Nov-2024,CE,939.7,2300,70477.5
NIFTY,23650,28-Nov-2024,PE,160.9,1950,12067.5
NIFTY,23650,28-Nov-2024,CE,969.05,2300,72678.75
NIFTY,23650,05-Dec-2024,PE,95.65,1950,7173.75
NIFTY,23650,26-Dec-2024,PE,145.1,1950,10882.5
NIFTY,23650,26-Dec-2024,CE,1282.3,2300,96172.5
NIFTY,23650,30-Jan-2025,PE,150.1,1950,11257.5
NIFTY,23700,07-Nov-2024,PE,44.65,1950,3348.75
NIFTY,23700,07-Nov-2024,CE,622.8,2300,46710.0
NIFTY,23700,14-Nov-2024,PE,85.6,1950,6420.0
NIFTY,23700,14-Nov-2024,CE,736.35,2300,55226.25
NIFTY,23700,21-Nov-2024,PE,130.4,1950,9780.0
NIFTY,23700,21-Nov-2024,CE,825.65,2300,61923.75
NIFTY,23700,28-Nov-2024,PE,173.35,1950,13001.25
